Country Name,Country Code,Series Name,Series Code,2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI.D3.16.INST,0.4,0.4,0.714
Afghanistan,AFG,GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI.D3.17.PTNS,0.812,0.667,0.667
Afghanistan,AFG,GOAL 2: Zero Hunger (5 year moving average),SPI.D3.2.HNGR,0.9,0.9,0.8
Afghanistan,AFG,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,0.72,0.64,0.8
Afghanistan,AFG,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,0.6,0.6,0.667
Afghanistan,AFG,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,0.8,0.667,0.75
Afghanistan,AFG,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,1,1,1
Afghanistan,AFG,GOAL 7: Affordable and Clean Energy (5 year moving average),SPI.D3.7.ENRG,0.944,0.833,0.944
Afghanistan,AFG,GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI.D3.8.WORK,0.875,0.889,0.875
Afghanistan,AFG,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI.D3.9.INDY,0.6,0.533,0.6
Afghanistan,AFG,Health/Demographic survey (Availability score over 10 years),SPI.D4.1.7.HLTH,0.33,0.67,0.67
Afghanistan,AFG,"Household Survey on income, etc  (Availability score over 10 years)",SPI.D4.1.4.HOUS,1,1,1
Afghanistan,AFG,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Afghanistan,AFG,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,1,1,1
Afghanistan,AFG,Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,SPI.D5.1.DILG,..,..,..
Afghanistan,AFG,NADA metadata,SPI.D2.4.NADA,1,1,1
Afghanistan,AFG,National Accounts base year,SPI.D5.2.2.NABY,0.5,0.5,0.5
Afghanistan,AFG,ODIN Open Data Openness score,SPI.D2.2.Openness.subscore,0.283,0.3,0.3
Afghanistan,AFG,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,80,80,66.6
Afghanistan,AFG,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,59.4333333333333,60,60
Afghanistan,AFG,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,78.6375,74.15,76.35625
Afghanistan,AFG,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,22.8166666666667,27.4916666666667,27.4916666666667
Afghanistan,AFG,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,55,55,55
Afghanistan,AFG,Population & Housing census (Availability score over 20 years),SPI.D4.1.1.POPU,0,0,0
Afghanistan,AFG,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,0.33
Afghanistan,AFG,Safely Managed Drinking Water,SPI.D1.5.SAFE.MAN.WATER,1,1,1
Afghanistan,AFG,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Afghanistan,AFG,SPI Overall Score,SPI.INDEX,59.1775,59.3283333333333,57.0895833333333
Afghanistan,AFG,System of national accounts in use,SPI.D5.2.1.SNAU,0.5,0.5,0.5
Albania,ALB,Agriculture census (Availability score over 20 years),SPI.D4.1.2.AGRI,1,1,1
Albania,ALB,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,0,0,0
Albania,ALB,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,1,1,1
Albania,ALB,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI.D1.5.CHLD.MORT,1,1,1
Albania,ALB,Business process,SPI.D5.2.10.GSBP,1,1,1
Albania,ALB,Business/establishment census (Availability score over 20 years),SPI.D4.1.3.BIZZ,1,1,1
Albania,ALB,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,1,1,1
Albania,ALB,Central government accounting status,SPI.D5.2.7.CGOV,1,1,1
Albania,ALB,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Albania,ALB,Classification of national industry,SPI.D5.2.3.CNIN,1,1,1
Albania,ALB,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Albania,ALB,Compilation of government finance statistics,SPI.D5.2.8.FINA,1,1,1
Albania,ALB,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Albania,ALB,CPI base year,SPI.D5.2.4.CPIBY,1,1,0.5
Albania,ALB,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
Albania,ALB,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,1,1,1
Albania,ALB,Dimension 2.1: Data Releases,SPI.DIM2.1.INDEX,0.5,0.5,0.5
Albania,ALB,Dimension 2.2: Online access,SPI.DIM2.2.INDEX,0.559,0.593,0.593
Albania,ALB,Dimension 2.2: Online access - Download Options Score,SPI.D2.2.Download.options,0.707,0.688,0.688
Albania,ALB,Dimension 2.2: Online access - Machine Readability Score,SPI.D2.2.Machine.readable,0.748,0.793,0.793
Albania,ALB,Dimension 2.2: Online access - Metadata Available Score,SPI.D2.2.Metadata.available,0.452,0.5,0.5
Albania,ALB,Dimension 2.2: Online access - Non-Proprietary format Score,SPI.D2.2.Non.proprietary,0.888,0.983,0.983
Albania,ALB,Dimension 2.2: Online access - Terms of Use Score,SPI.D2.2.Terms.of.use,0,0,0
Albania,ALB,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,1,1,1
Albania,ALB,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,0.906166666666667,0.813666666666667,0.84
Albania,ALB,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,0.836166666666667,0.792166666666667,0.897166666666667
Albania,ALB,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,0.7835,0.7425,0.625
Albania,ALB,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,0.969,0.8445,0.895
Albania,ALB,Dimension 4.1: Censuses and Surveys - Censuses only,SPI.DIM4.1.CEN.INDEX,1,0.833333333333333,1
Albania,ALB,Dimension 4.1: Censuses and Surveys - Surveys only,SPI.DIM4.1.SVY.INDEX,0.734,0.734,0.734
Albania,ALB,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,1,1,1
Albania,ALB,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,0.187,0.325,0.325
Albania,ALB,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,1,1,1
Albania,ALB,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,1,1,0.95
Albania,ALB,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,0,0,1
Albania,ALB,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI.D5.5.DIFI,0,0,1
Albania,ALB,Geospatial data available at 1st Admin Level,SPI.D4.3.GEO.first.admin.level,0.187,0.325,0.325
Albania,ALB,GOAL 1: No Poverty (5 year moving average),SPI.D3.1.POV,0.857,0.875,1
Albania,ALB,GOAL 10: Reduced Inequality (5 year moving average),SPI.D3.10.NEQL,0.875,0.9,0.875
Albania,ALB,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,1,0.875,1
Albania,ALB,GOAL 12: Responsible Consumption and Production (5 year moving average),SPI.D3.12.CNSP,0.8,0.8,1
Albania,ALB,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,0.667,0.667,0.5
Albania,ALB,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,0.9,0.818,0.75
Albania,ALB,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI.D3.16.INST,1,0.8,0.857
Albania,ALB,GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI.D3.17.PTNS,0.938,0.889,0.933
Albania,ALB,GOAL 2: Zero Hunger (5 year moving average),SPI.D3.2.HNGR,0.9,0.7,0.7
Albania,ALB,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,0.88,0.84,0.84
Albania,ALB,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,1,0.8,1
Albania,ALB,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,0.8,0.667,0.5
Albania,ALB,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,1,1,1
Albania,ALB,GOAL 7: Affordable and Clean Energy (5 year moving average),SPI.D3.7.ENRG,0.667,0.667,0.833
Albania,ALB,GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI.D3.8.WORK,0.875,0.778,0.875
Albania,ALB,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI.D3.9.INDY,0.8,0.733,0.8
Albania,ALB,Health/Demographic survey (Availability score over 10 years),SPI.D4.1.7.HLTH,0.67,0.67,0.67
Albania,ALB,"Household Survey on income, etc  (Availability score over 10 years)",SPI.D4.1.4.HOUS,1,1,1
Albania,ALB,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Albania,ALB,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,1,1,1
Albania,ALB,Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,SPI.D5.1.DILG,1,1,1
Albania,ALB,NADA metadata,SPI.D2.4.NADA,1,1,1
Albania,ALB,National Accounts base year,SPI.D5.2.2.NABY,1,1,1
Albania,ALB,ODIN Open Data Openness score,SPI.D2.2.Openness.subscore,0.559,0.593,0.593
Albania,ALB,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,100,100,100
Albania,ALB,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,68.6333333333333,69.7666666666667,69.7666666666667
Albania,ALB,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,87.24375,80.05625,84.14375
Albania,ALB,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,73.025,72.3083333333333,76.475
Albania,ALB,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,100,100,95
Albania,ALB,Population & Housing census (Availability score over 20 years),SPI.D4.1.1.POPU,1,0.5,1
Albania,ALB,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,1
Albania,ALB,Safely Managed Drinking Water,SPI.D1.5.SAFE.MAN.WATER,1,1,1
Albania,ALB,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Albania,ALB,SPI Overall Score,SPI.INDEX,85.7804166666667,84.42625,85.0770833333333
Albania,ALB,System of national accounts in use,SPI.D5.2.1.SNAU,1,1,1
Algeria,DZA,Agriculture census (Availability score over 20 years),SPI.D4.1.2.AGRI,0.5,0,0
Algeria,DZA,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,0.67,0.67,0.67
Algeria,DZA,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,0,0,0
Algeria,DZA,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI.D1.5.CHLD.MORT,1,1,1
Algeria,DZA,Business process,SPI.D5.2.10.GSBP,0,0,0
Algeria,DZA,Business/establishment census (Availability score over 20 years),SPI.D4.1.3.BIZZ,1,0.5,0.5
Algeria,DZA,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,0,0,0
Algeria,DZA,Central government accounting status,SPI.D5.2.7.CGOV,0,0,0
Algeria,DZA,Classification of household consumption,SPI.D5.2.5.HOUS,1,1,1
Algeria,DZA,Classification of national industry,SPI.D5.2.3.CNIN,0.5,0.5,0.5
Algeria,DZA,Classification of status of employment,SPI.D5.2.6.EMPL,1,1,1
Algeria,DZA,Compilation of government finance statistics,SPI.D5.2.8.FINA,0,0,0
Algeria,DZA,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,1,1,1
Algeria,DZA,CPI base year,SPI.D5.2.4.CPIBY,0,0,0
Algeria,DZA,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
Algeria,DZA,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,0.8,0.8,0.8
Algeria,DZA,Dimension 2.1: Data Releases,SPI.DIM2.1.INDEX,0.5,0.5,0.5
Algeria,DZA,Dimension 2.2: Online access,SPI.DIM2.2.INDEX,0.263,0.235,0.235
Algeria,DZA,Dimension 2.2: Online access - Download Options Score,SPI.D2.2.Download.options,0.148,0.074,0.074
Algeria,DZA,Dimension 2.2: Online access - Machine Readability Score,SPI.D2.2.Machine.readable,0.04,0.024,0.024
Algeria,DZA,Dimension 2.2: Online access - Metadata Available Score,SPI.D2.2.Metadata.available,0.383,0.367,0.367
Algeria,DZA,Dimension 2.2: Online access - Non-Proprietary format Score,SPI.D2.2.Non.proprietary,0.743,0.71,0.71
Algeria,DZA,Dimension 2.2: Online access - Terms of Use Score,SPI.D2.2.Terms.of.use,0,0,0
Algeria,DZA,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,1,1,1
Algeria,DZA,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,0.724833333333333,0.673,0.715
Algeria,DZA,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,0.932333333333333,0.8,0.824
Algeria,DZA,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,0.7835,0.7425,0.6665
Algeria,DZA,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,0.806,0.6965,0.757
Algeria,DZA,Dimension 4.1: Censuses and Surveys - Censuses only,SPI.DIM4.1.CEN.INDEX,0.666666666666667,0.5,0.5
Algeria,DZA,Dimension 4.1: Censuses and Surveys - Surveys only,SPI.DIM4.1.SVY.INDEX,0.4,0.4,0.4
Algeria,DZA,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,1,1,1
Algeria,DZA,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,0.063,0.105,0.105
Algeria,DZA,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,1,1,1
Algeria,DZA,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,0.5,0.5,0.5
Algeria,DZA,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,1,1,1
Algeria,DZA,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI.D5.5.DIFI,1,1,1
Algeria,DZA,Geospatial data available at 1st Admin Level,SPI.D4.3.GEO.first.admin.level,0.063,0.105,0.105
Algeria,DZA,GOAL 1: No Poverty (5 year moving average),SPI.D3.1.POV,0.714,0.75,0.6
Algeria,DZA,GOAL 10: Reduced Inequality (5 year moving average),SPI.D3.10.NEQL,0.875,0.7,0.875
Algeria,DZA,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,1,1,1
Algeria,DZA,GOAL 12: Responsible Consumption and Production (5 year moving average),SPI.D3.12.CNSP,1,1,1
Algeria,DZA,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,0.667,0.667,0.5
Algeria,DZA,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,0.9,0.818,0.833
Algeria,DZA,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI.D3.16.INST,0.8,0.671,0.714
Algeria,DZA,GOAL 17: Partnerships to achieve the Goal (5 year moving average),SPI.D3.17.PTNS,0.812,0.722,0.8
Algeria,DZA,GOAL 2: Zero Hunger (5 year moving average),SPI.D3.2.HNGR,0.8,0.8,0.7
Algeria,DZA,GOAL 3: Good Health and Well-being (5 year moving average),SPI.D3.3.HLTH,0.76,0.68,0.8
Algeria,DZA,GOAL 4: Quality Education (5 year moving average),SPI.D3.4.EDUC,0.6,0.6,0.833
Algeria,DZA,GOAL 5: Gender Equality (5 year moving average),SPI.D3.5.GEND,0.6,0.333,0.5
Algeria,DZA,GOAL 6: Clean Water and Sanitation (5 year moving average),SPI.D3.6.WTRS,0.875,0.875,0.857
Algeria,DZA,GOAL 7: Affordable and Clean Energy (5 year moving average),SPI.D3.7.ENRG,0.944,0.944,0.944
Algeria,DZA,GOAL 8: Decent Work and Economic Growth (5 year moving average),SPI.D3.8.WORK,0.875,0.556,0.625
Algeria,DZA,"GOAL 9: Industry, Innovation and Infrastructure (5 year moving average)",SPI.D3.9.INDY,0.9,0.6,0.5
Algeria,DZA,Health/Demographic survey (Availability score over 10 years),SPI.D4.1.7.HLTH,1,1,1
Algeria,DZA,"Household Survey on income, etc  (Availability score over 10 years)",SPI.D4.1.4.HOUS,0.33,0.33,0.33
Algeria,DZA,Labor force participation rate by sex and age (%),SPI.D1.5.LFP,1,1,1
Algeria,DZA,Labor Force Survey (Availability score over 10 years),SPI.D4.1.6.LABR,0,0,0
Algeria,DZA,Legislation Indicator based on PARIS21 indicators on SDG 17.18.2,SPI.D5.1.DILG,1,1,1
Algeria,DZA,NADA metadata,SPI.D2.4.NADA,1,1,1
Algeria,DZA,National Accounts base year,SPI.D5.2.2.NABY,1,1,1
Algeria,DZA,ODIN Open Data Openness score,SPI.D2.2.Openness.subscore,0.263,0.235,0.235
Algeria,DZA,Pillar 1 - Data Use - Score,SPI.INDEX.PIL1,80,80,80
Algeria,DZA,Pillar 2 - Data Services - Score,SPI.INDEX.PIL2,58.7666666666667,57.8333333333333,57.8333333333333
Algeria,DZA,Pillar 3 - Data Products - Score,SPI.INDEX.PIL3,82.0125,73.225,75.50625
Algeria,DZA,Pillar 4 - Data Sources - Score,SPI.INDEX.PIL4,53.2416666666667,50.125,50.125
Algeria,DZA,Pillar 5 - Data Infrastructure - Score,SPI.INDEX.PIL5,50,50,50
Algeria,DZA,Population & Housing census (Availability score over 20 years),SPI.D4.1.1.POPU,0.5,1,1
Algeria,DZA,Quality of Debt service data according to World Bank,SPI.D1.5.DT.TDS.DPPF.XP.ZS,1,1,1
Algeria,DZA,Safely Managed Drinking Water,SPI.D1.5.SAFE.MAN.WATER,1,1,1
Algeria,DZA,SDDS/e-GDDS subscription,SPI.D2.1.GDDS,0.5,0.5,0.5
Algeria,DZA,SPI Overall Score,SPI.INDEX,64.8041666666667,62.2366666666667,62.6929166666667
Algeria,DZA,System of national accounts in use,SPI.D5.2.1.SNAU,0.5,0.5,0.5
American Samoa,ASM,Agriculture census (Availability score over 20 years),SPI.D4.1.2.AGRI,..,..,..
American Samoa,ASM,Agriculture survey (Availability score over 10 years),SPI.D4.1.5.AGSVY,..,..,..
American Samoa,ASM,Availability of Comparable Poverty headcount ratio at $2.15 a day (5 year moving average),SPI.D1.5.POV,0,0,0
American Samoa,ASM,"Availability of Mortality rate, under-5 (per 1,000 live births) data meeting quality standards according to UN IGME  (5 year moving average)",SPI.D1.5.CHLD.MORT,0,0,0
American Samoa,ASM,Business process,SPI.D5.2.10.GSBP,..,..,..
American Samoa,ASM,Business/establishment census (Availability score over 20 years),SPI.D4.1.3.BIZZ,..,..,..
American Samoa,ASM,Business/establishment survey (Availability score over 10 years),SPI.D4.1.8.BZSVY,..,..,..
American Samoa,ASM,Central government accounting status,SPI.D5.2.7.CGOV,..,..,..
American Samoa,ASM,Classification of household consumption,SPI.D5.2.5.HOUS,..,..,..
American Samoa,ASM,Classification of national industry,SPI.D5.2.3.CNIN,..,..,..
American Samoa,ASM,Classification of status of employment,SPI.D5.2.6.EMPL,..,..,..
American Samoa,ASM,Compilation of government finance statistics,SPI.D5.2.8.FINA,..,..,..
American Samoa,ASM,Compilation of monetary and financial statistics,SPI.D5.2.9.MONY,..,..,..
American Samoa,ASM,CPI base year,SPI.D5.2.4.CPIBY,..,..,..
American Samoa,ASM,CRVS (WDI),SPI.D4.2.3.CRVS,1,1,1
American Samoa,ASM,Dimension 1.5: Data use by international organizations,SPI.DIM1.5.INDEX,0.2,0.2,0.4
American Samoa,ASM,Dimension 2.1: Data Releases,SPI.DIM2.1.INDEX,0,0,0
American Samoa,ASM,Dimension 2.2: Online access,SPI.DIM2.2.INDEX,..,..,..
American Samoa,ASM,Dimension 2.2: Online access - Download Options Score,SPI.D2.2.Download.options,..,..,..
American Samoa,ASM,Dimension 2.2: Online access - Machine Readability Score,SPI.D2.2.Machine.readable,..,..,..
American Samoa,ASM,Dimension 2.2: Online access - Metadata Available Score,SPI.D2.2.Metadata.available,..,..,..
American Samoa,ASM,Dimension 2.2: Online access - Non-Proprietary format Score,SPI.D2.2.Non.proprietary,..,..,..
American Samoa,ASM,Dimension 2.2: Online access - Terms of Use Score,SPI.D2.2.Terms.of.use,..,..,..
American Samoa,ASM,Dimension 2.4: Data services,SPI.DIM2.4.INDEX,..,..,..
American Samoa,ASM,Dimension 3.1: Social Statistics,SPI.DIM3.1.INDEX,0.169333333333333,0.157833333333333,0.112166666666667
American Samoa,ASM,Dimension 3.2: Economic Statistics,SPI.DIM3.2.INDEX,0.213833333333333,0.197166666666667,0.263833333333333
American Samoa,ASM,Dimension 3.3: Environmental Statistics,SPI.DIM3.3.INDEX,0.4665,0.4575,0.25
American Samoa,ASM,Dimension 3.4: Institutional Statistics,SPI.DIM3.4.INDEX,0.194,0.1335,0.1
American Samoa,ASM,Dimension 4.1: Censuses and Surveys - Censuses only,SPI.DIM4.1.CEN.INDEX,..,..,..
American Samoa,ASM,Dimension 4.1: Censuses and Surveys - Surveys only,SPI.DIM4.1.SVY.INDEX,..,..,..
American Samoa,ASM,Dimension 4.2: Administrative Data,SPI.DIM4.2.INDEX,1,1,1
American Samoa,ASM,Dimension 4.3: Geospatial Data,SPI.DIM4.3.INDEX,..,..,..
American Samoa,ASM,Dimension 5.1: Legislation and governance,SPI.DIM5.1.INDEX,..,..,..
American Samoa,ASM,Dimension 5.2: Standards and Methods,SPI.DIM5.2.INDEX,..,..,..
American Samoa,ASM,Dimension 5.5: Finance,SPI.DIM5.5.INDEX,..,..,..
American Samoa,ASM,Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI.D5.5.DIFI,..,..,..
American Samoa,ASM,Geospatial data available at 1st Admin Level,SPI.D4.3.GEO.first.admin.level,..,..,..
American Samoa,ASM,GOAL 1: No Poverty (5 year moving average),SPI.D3.1.POV,0.286,0.25,0.2
American Samoa,ASM,GOAL 10: Reduced Inequality (5 year moving average),SPI.D3.10.NEQL,0.25,0.3,0.125
American Samoa,ASM,GOAL 11: Sustainable Cities and Communities (5 year moving average),SPI.D3.11.CITY,0.4,0.25,0.5
American Samoa,ASM,GOAL 12: Responsible Consumption and Production (5 year moving average),SPI.D3.12.CNSP,0.2,0.2,0.4
American Samoa,ASM,GOAL 13: Climate Action (5 year moving average),SPI.D3.13.CLMT,0.333,0.333,0
American Samoa,ASM,GOAL 15: Life on Land (5 year moving average),SPI.D3.15.LAND,0.6,0.582,0.5
American Samoa,ASM,GOAL 16: Peace and Justice Strong Institutions (5 year moving average),SPI.D3.16.INST,0.2,0.1,0
