Series Name,Source File(s),Category
"Contraceptive prevalence, any method (% of married women ages 15-49)",WDI,Social_Indicators
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",WDI,Social_Indicators
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",WDI,Social_Indicators
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",WDI,Social_Indicators
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",WDI,Social_Indicators
Coverage of social insurance programs (% of population),WDI,Social_Indicators
Coverage of social insurance programs in 2nd quintile (% of population),WDI,Social_Indicators
Coverage of social insurance programs in 3rd quintile (% of population),WDI,Social_Indicators
Coverage of social insurance programs in 4th quintile (% of population),WDI,Social_Indicators
Coverage of social insurance programs in poorest quintile (% of population),WDI,Social_Indicators
Coverage of social insurance programs in richest quintile (% of population),WDI,Social_Indicators
Coverage of social protection and labor programs (% of population),WDI,Social_Indicators
Coverage of social safety net programs (% of population),WDI,Social_Indicators
Coverage of social safety net programs in 2nd quintile (% of population),WDI,Social_Indicators
Coverage of social safety net programs in 3rd quintile (% of population),WDI,Social_Indicators
Coverage of social safety net programs in 4th quintile (% of population),WDI,Social_Indicators
Coverage of social safety net programs in poorest quintile (% of population),WDI,Social_Indicators
Coverage of social safety net programs in richest quintile (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),WDI,Social_Indicators
Coverage of unemployment benefits and ALMP in richest quintile (% of population),WDI,Social_Indicators
"Death rate, crude (per 1,000 people)",WDI,Social_Indicators
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),WDI,Social_Indicators
Diabetes prevalence (% of population ages 20 to 79),WDI,Social_Indicators
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),WDI,Social_Indicators
Diarrhea treatment (% of children under 5 who received ORS packet),WDI,Social_Indicators
Dimension 2.1: Data Releases,SPI,Social_Indicators
Dimension 2.2: Online access,SPI,Social_Indicators
Dimension 3.1: Social Statistics,SPI,Social_Indicators
Dimension 4.2: Administrative Data,SPI,Social_Indicators
Dimension 4.3: Geospatial Data,SPI,Social_Indicators
Dimension 5.1: Legislation and governance,SPI,Social_Indicators
Dimension 5.2: Standards and Methods,SPI,Social_Indicators
Domestic general government health expenditure (% of current health expenditure),WDI,Social_Indicators
Domestic general government health expenditure (% of general government expenditure),WDI,Social_Indicators
Domestic general government health expenditure per capita (current US$),WDI,Social_Indicators
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",WDI,Social_Indicators
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",WDI,Social_Indicators
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WDI,Social_Indicators
"Employers, female (% of female employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employers, male (% of male employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employers, total (% of total employment) (modeled ILO estimate)",WDI,Social_Indicators
Employment in agriculture (% of total employment) (modeled ILO estimate),WDI,Social_Indicators
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",WDI,Social_Indicators
Employment in industry (% of total employment) (modeled ILO estimate),WDI,Social_Indicators
"Employment in industry, female (% of female employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employment in industry, male (% of male employment) (modeled ILO estimate)",WDI,Social_Indicators
Employment in services (% of total employment) (modeled ILO estimate),WDI,Social_Indicators
"Employment in services, female (% of female employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employment in services, male (% of male employment) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, female (%) (national estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, male (%) (national estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, 15+, total (%) (national estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, female (%) (national estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, male (%) (national estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",WDI,Social_Indicators
"Employment to population ratio, ages 15-24, total (%) (national estimate)",WDI,Social_Indicators
Exclusive breastfeeding (% of children under 6 months),WDI,Social_Indicators
Expenditure on primary education (% of government expenditure on education),WDI,Social_Indicators
Expenditure on secondary education (% of government expenditure on education),WDI,Social_Indicators
Expenditure on tertiary education (% of government expenditure on education),WDI,Social_Indicators
Female genital mutilation prevalence (%),WDI,Social_Indicators
Female headed households (% of households with a female head),WDI,Social_Indicators
Female primary school age children out-of-school (%),WDI,Social_Indicators
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,WDI,Social_Indicators
Female share of employment in senior and middle management (%),WDI,Social_Indicators
"Fertility rate, total (births per woman)",WDI,Social_Indicators
Firms with female participation in ownership (% of firms),WDI,Social_Indicators
Firms with female top manager (% of firms),WDI,Social_Indicators
Fixed broadband subscriptions (per 100 people),WDI,Social_Indicators
Fixed telephone subscriptions (per 100 people),WDI,Social_Indicators
Forcibly displaced people,WDI,Social_Indicators
GOAL 10: Reduced Inequality (5 year moving average),SPI,Social_Indicators
GOAL 1: No Poverty (5 year moving average),SPI,Social_Indicators
GOAL 3: Good Health and Well-being (5 year moving average),SPI,Social_Indicators
GOAL 4: Quality Education (5 year moving average),SPI,Social_Indicators
GOAL 5: Gender Equality (5 year moving average),SPI,Social_Indicators
Government Effectiveness: Estimate,WDI,Social_Indicators
Government Effectiveness: Number of Sources,WDI,Social_Indicators
Government Effectiveness: Percentile Rank,WDI,Social_Indicators
"Government Effectiveness: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI,Social_Indicators
"Government Effectiveness: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI,Social_Indicators
Government Effectiveness: Standard Error,WDI,Social_Indicators
"Government expenditure on education, total (% of government expenditure)",WDI,Social_Indicators
"Gross intake ratio in first grade of primary education, female (% of relevant age group)",WDI,Social_Indicators
"Gross intake ratio in first grade of primary education, male (% of relevant age group)",WDI,Social_Indicators
"Hospital beds (per 1,000 people)",WDI,Social_Indicators
"Human capital index (HCI), female (scale 0-1)",WDI,Social_Indicators
"Human capital index (HCI), female, lower bound (scale 0-1)",WDI,Social_Indicators
"Human capital index (HCI), female, upper bound (scale 0-1)",WDI,Social_Indicators
"Human capital index (HCI), male (scale 0-1)",WDI,Social_Indicators
"Human capital index (HCI), male, lower bound (scale 0-1)",WDI,Social_Indicators
"Human capital index (HCI), male, upper bound (scale 0-1)",WDI,Social_Indicators
"Immunization, DPT (% of children ages 12-23 months)",WDI,Social_Indicators
"Immunization, HepB3 (% of one-year-old children)",WDI,Social_Indicators
"Immunization, measles (% of children ages 12-23 months)",WDI,Social_Indicators
"Incidence of HIV, ages 15-24 (per 1,000 uninfected population ages 15-24)",WDI,Social_Indicators
"Incidence of HIV, ages 15-49 (per 1,000 uninfected population ages 15-49)",WDI,Social_Indicators
"Incidence of HIV, all (per 1,000 uninfected population)",WDI,Social_Indicators
"Incidence of malaria (per 1,000 population at risk)",WDI,Social_Indicators
"Incidence of tuberculosis (per 100,000 people)",WDI,Social_Indicators
Individuals using the Internet (% of population),WDI,Social_Indicators
"Individuals using the Internet, female (% of female population)",WDI,Social_Indicators
"Individuals using the Internet, male (% of male population)",WDI,Social_Indicators
"Intentional homicides (per 100,000 people)",WDI,Social_Indicators
"Intentional homicides, female (per 100,000 female)",WDI,Social_Indicators
"Intentional homicides, male (per 100,000 male)",WDI,Social_Indicators
Internally displaced people (IDP) by country or territory of asylum / origin,WDI,Social_Indicators
"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",WDI,Social_Indicators
"Internally displaced persons, new displacement associated with disasters (number of cases)",WDI,Social_Indicators
International migrant stock (% of population),WDI,Social_Indicators
"International migrant stock, total",WDI,Social_Indicators
Investment in water and sanitation with private participation (current US$),WDI,Social_Indicators
Labor force participation rate by sex and age (%),SPI,Social_Indicators
"Labor force participation rate for ages 15-24, female (%) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate for ages 15-24, female (%) (national estimate)",WDI,Social_Indicators
"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate for ages 15-24, male (%) (national estimate)",WDI,Social_Indicators
"Labor force participation rate for ages 15-24, total (%) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate for ages 15-24, total (%) (national estimate)",WDI,Social_Indicators
"Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate, female (% of female population ages 15+) (national estimate)",WDI,Social_Indicators
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate, male (% of male population ages 15+) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate, male (% of male population ages 15+) (national estimate)",WDI,Social_Indicators
"Labor force participation rate, male (% of male population ages 15-64) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",WDI,Social_Indicators
"Labor force participation rate, total (% of total population ages 15+) (national estimate)",WDI,Social_Indicators
"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",WDI,Social_Indicators
Labor force with advanced education (% of total working-age population with advanced education),WDI,Social_Indicators
"Labor force with advanced education, female (% of female working-age population with advanced education)",WDI,Social_Indicators
"Labor force with advanced education, male (% of male working-age population with advanced education)",WDI,Social_Indicators
Labor force with basic education (% of total working-age population with basic education),WDI,Social_Indicators
"Labor force with basic education, female (% of female working-age population with basic education)",WDI,Social_Indicators
"Labor force with basic education, male (% of male working-age population with basic education)",WDI,Social_Indicators
Labor force with intermediate education (% of total working-age population with intermediate education),WDI,Social_Indicators
"Labor force with intermediate education, female (% of female working-age population with intermediate education)",WDI,Social_Indicators
"Labor force with intermediate education, male (% of male working-age population with intermediate education)",WDI,Social_Indicators
"Labor force, female (% of total labor force)",WDI,Social_Indicators
"Labor force, total",WDI,Social_Indicators
Learning poverty: Share of Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),WDI,Social_Indicators
Learning poverty: Share of Female Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),WDI,Social_Indicators
Learning poverty: Share of Male Children at the End-of-Primary age below minimum reading proficiency adjusted by Out-of-School Children (%),WDI,Social_Indicators
"Life expectancy at birth, female (years)",WDI,Social_Indicators
"Life expectancy at birth, male (years)",WDI,Social_Indicators
"Life expectancy at birth, total (years)",WDI,Social_Indicators
Lifetime risk of maternal death (%),WDI,Social_Indicators
"Literacy rate, adult female (% of females ages 15 and above)",WDI,Social_Indicators
"Literacy rate, adult male (% of males ages 15 and above)",WDI,Social_Indicators
"Literacy rate, adult total (% of people ages 15 and above)",WDI,Social_Indicators
"Literacy rate, youth (ages 15-24), gender parity index (GPI)",WDI,Social_Indicators
"Literacy rate, youth female (% of females ages 15-24)",WDI,Social_Indicators
"Literacy rate, youth male (% of males ages 15-24)",WDI,Social_Indicators
"Literacy rate, youth total (% of people ages 15-24)",WDI,Social_Indicators
Low-birthweight babies (% of births),WDI,Social_Indicators
"Lower secondary completion rate, female (% of relevant age group)",WDI,Social_Indicators
Lower secondary school starting age (years),WDI,Social_Indicators
Male primary school age children out-of-school (%),WDI,Social_Indicators
Male pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,WDI,Social_Indicators
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",WDI,Social_Indicators
"Maternal mortality ratio (national estimate, per 100,000 live births)",WDI,Social_Indicators
Mobile cellular subscriptions (per 100 people),WDI,Social_Indicators
"Mortality caused by road traffic injury (per 100,000 population)",WDI,Social_Indicators
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70 (%)",WDI,Social_Indicators
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, female (%)",WDI,Social_Indicators
"Mortality from CVD, cancer, diabetes or CRD between exact ages 30 and 70, male (%)",WDI,Social_Indicators
"Mortality rate attributed to household and ambient air pollution, age-standardized (per 100,000 population)",WDI,Social_Indicators
"Mortality rate attributed to household and ambient air pollution, age-standardized, female (per 100,000 female population)",WDI,Social_Indicators
"Mortality rate attributed to household and ambient air pollution, age-standardized, male (per 100,000 male population)",WDI,Social_Indicators
"Mortality rate attributed to unintentional poisoning (per 100,000 population)",WDI,Social_Indicators
"Mortality rate attributed to unintentional poisoning, female (per 100,000 female population)",WDI,Social_Indicators
"Mortality rate attributed to unintentional poisoning, male (per 100,000 male population)",WDI,Social_Indicators
"Mortality rate attributed to unsafe water, unsafe sanitation and lack of hygiene (per 100,000 population)",WDI,Social_Indicators
"Mortality rate, adult, female (per 1,000 female adults)",WDI,Social_Indicators
"Mortality rate, adult, male (per 1,000 male adults)",WDI,Social_Indicators
"Mortality rate, infant (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, infant, female (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, infant, male (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, neonatal (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, under-5 (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, under-5, female (per 1,000 live births)",WDI,Social_Indicators
"Mortality rate, under-5, male (per 1,000 live births)",WDI,Social_Indicators
Multidimensional poverty headcount ratio (UNDP) (% of population),WDI,Social_Indicators
Multidimensional poverty headcount ratio (World Bank) (% of population),WDI,Social_Indicators
Net intake rate in grade 1 (% of official school-age population),WDI,Social_Indicators
"Net intake rate in grade 1, female (% of official school-age population)",WDI,Social_Indicators
"Net intake rate in grade 1, male (% of official school-age population)",WDI,Social_Indicators
Net official development assistance and official aid received (constant 2021 US$),WDI,Social_Indicators
Net official development assistance and official aid received (current US$),WDI,Social_Indicators
Net official development assistance received (constant 2021 US$),WDI,Social_Indicators
Net official development assistance received (current US$),WDI,Social_Indicators
"Net official flows from UN agencies, UNAIDS (current US$)",WDI,Social_Indicators
"Net official flows from UN agencies, UNWOMEN (current US$)",WDI,Social_Indicators
Number of deaths ages 10-14 years,WDI,Social_Indicators
Number of deaths ages 15-19 years,WDI,Social_Indicators
Number of deaths ages 20-24 years,WDI,Social_Indicators
Number of deaths ages 5-9 years,WDI,Social_Indicators
Number of infant deaths,WDI,Social_Indicators
Number of maternal deaths,WDI,Social_Indicators
Number of neonatal deaths,WDI,Social_Indicators
"Number of surgical procedures (per 100,000 population)",WDI,Social_Indicators
Number of under-five deaths,WDI,Social_Indicators
"Nurses and midwives (per 1,000 people)",WDI,Social_Indicators
Other people in need of international protection by country or territory of asylum,WDI,Social_Indicators
"Over-age students, primary (% of enrollment)",WDI,Social_Indicators
"Over-age students, primary, female (% of female enrollment)",WDI,Social_Indicators
"Over-age students, primary, male (% of male enrollment)",WDI,Social_Indicators
"Part time employment, female (% of total female employment)",WDI,Social_Indicators
"Part time employment, male (% of total male employment)",WDI,Social_Indicators
"Part time employment, total (% of total employment)",WDI,Social_Indicators
People practicing open defecation (% of population),WDI,Social_Indicators
"People practicing open defecation, rural (% of rural population)",WDI,Social_Indicators
"People practicing open defecation, urban (% of urban population)",WDI,Social_Indicators
People using at least basic drinking water services (% of population),WDI,Social_Indicators
"People using at least basic drinking water services, rural (% of rural population)",WDI,Social_Indicators
"People using at least basic drinking water services, urban (% of urban population)",WDI,Social_Indicators
People using at least basic sanitation services (% of population),WDI,Social_Indicators
"People using at least basic sanitation services, rural (% of rural population)",WDI,Social_Indicators
"People using at least basic sanitation services, urban (% of urban population)",WDI,Social_Indicators
People using safely managed drinking water services (% of population),WDI,Social_Indicators
"People using safely managed drinking water services, rural (% of rural population)",WDI,Social_Indicators
"People using safely managed drinking water services, urban (% of urban population)",WDI,Social_Indicators
People using safely managed sanitation services (% of population),WDI,Social_Indicators
"People using safely managed sanitation services, rural (% of rural population)",WDI,Social_Indicators
"People using safely managed sanitation services, urban (% of urban population)",WDI,Social_Indicators
People with basic handwashing facilities including soap and water (% of population),WDI,Social_Indicators
"People with basic handwashing facilities including soap and water, rural (% of rural population)",WDI,Social_Indicators
"People with basic handwashing facilities including soap and water, urban (% of urban population)",WDI,Social_Indicators
"Persistence to grade 5, female (% of cohort)",WDI,Social_Indicators
"Persistence to grade 5, male (% of cohort)",WDI,Social_Indicators
"Persistence to last grade of primary, female (% of cohort)",WDI,Social_Indicators
"Persistence to last grade of primary, male (% of cohort)",WDI,Social_Indicators
"Personal transfers, receipts (BoP, current US$)",WDI,Social_Indicators
"Physicians (per 1,000 people)",WDI,Social_Indicators
Population ages 0-14 (% of total population),WDI,Social_Indicators
"Population ages 0-14, female",WDI,Social_Indicators
"Population ages 0-14, female (% of female population)",WDI,Social_Indicators
"Population ages 0-14, male",WDI,Social_Indicators
"Population ages 0-14, male (% of male population)",WDI,Social_Indicators
"Population ages 0-14, total",WDI,Social_Indicators
"Population ages 00-04, female (% of female population)",WDI,Social_Indicators
"Population ages 00-04, male (% of male population)",WDI,Social_Indicators
"Population ages 05-09, female (% of female population)",WDI,Social_Indicators
"Population ages 05-09, male (% of male population)",WDI,Social_Indicators
"Population ages 10-14, female (% of female population)",WDI,Social_Indicators
"Population ages 10-14, male (% of male population)",WDI,Social_Indicators
"Population ages 15-19, female (% of female population)",WDI,Social_Indicators
"Population ages 15-19, male (% of male population)",WDI,Social_Indicators
Population ages 15-64 (% of total population),WDI,Social_Indicators
"Population ages 15-64, female",WDI,Social_Indicators
"Population ages 15-64, female (% of female population)",WDI,Social_Indicators
"Population ages 15-64, male",WDI,Social_Indicators
"Population ages 15-64, male (% of male population)",WDI,Social_Indicators
"Population ages 15-64, total",WDI,Social_Indicators
"Population ages 20-24, female (% of female population)",WDI,Social_Indicators
"Population ages 20-24, male (% of male population)",WDI,Social_Indicators
"Population ages 25-29, female (% of female population)",WDI,Social_Indicators
"Population ages 25-29, male (% of male population)",WDI,Social_Indicators
"Population ages 30-34, female (% of female population)",WDI,Social_Indicators
"Population ages 30-34, male (% of male population)",WDI,Social_Indicators
"Population ages 35-39, female (% of female population)",WDI,Social_Indicators
"Population ages 35-39, male (% of male population)",WDI,Social_Indicators
"Population ages 40-44, female (% of female population)",WDI,Social_Indicators
"Population ages 40-44, male (% of male population)",WDI,Social_Indicators
"Population ages 45-49, female (% of female population)",WDI,Social_Indicators
"Population ages 45-49, male (% of male population)",WDI,Social_Indicators
"Population ages 50-54, female (% of female population)",WDI,Social_Indicators
"Population ages 50-54, male (% of male population)",WDI,Social_Indicators
