Series Name,Source File(s)
B-READY: Labor Pillar 3: Operational Efficiency of Labor Regulations and Public Services in Practice,WDI
B-READY: Labor: Overall Score,WDI
B-READY: Market Competition Pillar 1: Quality of Regulations that Promote Market Competition,WDI
B-READY: Market Competition Pillar 2: Public Services that Promote Market Competition,WDI
B-READY: Market Competition Pillar 3:  Implementation of Key Services Promoting Market Competition,WDI
B-READY: Market Competition: Overall Score,WDI
B-READY: Pillar 1: Regulatory Framework,WDI
B-READY: Pillar 2: Public Services,WDI
B-READY: Pillar 3: Operational Efficiency,WDI
B-READY: Taxation Pillar 1: Quality of Regulations on Taxation,WDI
B-READY: Taxation Pillar 2: Public Services Provided by the Tax Administration,WDI
B-READY: Taxation Pillar 3: Operational Efficiency of Tax Systems in Practice,WDI
B-READY: Taxation: Overall Score,WDI
B-READY: Utility Services Pillar 1: Quality of Regulations on Utility Services,WDI
B-READY: Utility Services Pillar 2: Quality of Governance and Transparency of Utility Services,WDI
B-READY: Utility Services Pillar 3: Operational Efficiency of Utility Service Provision,WDI
B-READY: Utility Services: Overall Score,WDI
Bank capital to assets ratio (%),WDI
Bank liquid reserves to bank assets ratio (%),WDI
Bank nonperforming loans to total gross loans (%),WDI
Battle-related deaths (number of people),WDI
Benefit incidence of social insurance programs to poorest quintile (% of total social insurance benefits),WDI
Benefit incidence of social protection and labor programs to poorest quintile (% of total SPL benefits),WDI
Benefit incidence of social safety net programs to poorest quintile (% of total safety net benefits),WDI
Benefit incidence of unemployment benefits and ALMP to poorest quintile (% of total U/ALMP benefits),WDI
"Binding coverage, all products (%)",WDI
"Binding coverage, manufactured products (%)",WDI
"Binding coverage, primary products (%)",WDI
"Bird species, threatened",WDI
"Birth rate, crude (per 1,000 people)",WDI
Births attended by skilled health staff (% of total),WDI
"Borrowers from commercial banks (per 1,000 adults)",WDI
"Bound rate, simple mean, all products (%)",WDI
"Bound rate, simple mean, manufactured products (%)",WDI
"Bound rate, simple mean, primary products (%)",WDI
Bribery incidence (% of firms experiencing at least one bribe payment request),WDI
Broad money (% of GDP),WDI
Broad money (current LCU),WDI
Broad money growth (annual %),WDI
Broad money to total reserves ratio,WDI
Business process,SPI
Business/establishment census (Availability score over 20 years),SPI
Business/establishment survey (Availability score over 10 years),SPI
CPI base year,SPI
CPIA building human resources rating (1=low to 6=high),WDI
CPIA business regulatory environment rating (1=low to 6=high),WDI
CPIA debt policy rating (1=low to 6=high),WDI
CPIA economic management cluster average (1=low to 6=high),WDI
CPIA efficiency of revenue mobilization rating (1=low to 6=high),WDI
CPIA equity of public resource use rating (1=low to 6=high),WDI
CPIA financial sector rating (1=low to 6=high),WDI
CPIA fiscal policy rating (1=low to 6=high),WDI
CPIA gender equality rating (1=low to 6=high),WDI
CPIA macroeconomic management rating (1=low to 6=high),WDI
CPIA policies for social inclusion/equity cluster average (1=low to 6=high),WDI
CPIA policy and institutions for environmental sustainability rating (1=low to 6=high),WDI
CPIA property rights and rule-based governance rating (1=low to 6=high),WDI
CPIA public sector management and institutions cluster average (1=low to 6=high),WDI
CPIA quality of budgetary and financial management rating (1=low to 6=high),WDI
CPIA quality of public administration rating (1=low to 6=high),WDI
CPIA social protection rating (1=low to 6=high),WDI
CPIA structural policies cluster average (1=low to 6=high),WDI
CPIA trade rating (1=low to 6=high),WDI
"CPIA transparency, accountability, and corruption in the public sector rating (1=low to 6=high)",WDI
CRVS (WDI),SPI
Capture fisheries production (metric tons),WDI
Carbon dioxide (CO2) emissions (total) excluding LULUCF (% change from 1990),WDI
Carbon dioxide (CO2) emissions (total) excluding LULUCF (Mt CO2e),WDI
Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),WDI
Carbon dioxide (CO2) emissions from Agriculture (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Building (Energy) (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Fugitive Emissions (Energy) (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Industrial Combustion (Energy) (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Industrial Processes (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Power Industry (Energy) (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Transport (Energy) (Mt CO2e),WDI
Carbon dioxide (CO2) emissions from Waste (Mt CO2e),WDI
Carbon dioxide (CO2) net fluxes from LULUCF - Deforestation (Mt CO2e),WDI
Carbon dioxide (CO2) net fluxes from LULUCF - Forest Land (Mt CO2e),WDI
Carbon dioxide (CO2) net fluxes from LULUCF - Organic Soil (Mt CO2e),WDI
Carbon dioxide (CO2) net fluxes from LULUCF - Other Land (Mt CO2e),WDI
Carbon dioxide (CO2) net fluxes from LULUCF - Total excluding non-tropical fires (Mt CO2e),WDI
Carbon intensity of GDP (kg CO2e per 2021 PPP $ of GDP),WDI
Carbon intensity of GDP (kg CO2e per constant 2015 US$ of GDP),WDI
"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",WDI
"Cause of death, by injury (% of total)",WDI
"Cause of death, by non-communicable diseases (% of total)",WDI
Central government accounting status,SPI
"Central government debt, total (% of GDP)",WDI
"Central government debt, total (current LCU)",WDI
Cereal production (metric tons),WDI
Cereal yield (kg per hectare),WDI
Changes in inventories (constant LCU),WDI
Changes in inventories (current LCU),WDI
Changes in inventories (current US$),WDI
"Charges for the use of intellectual property, payments (BoP, current US$)",WDI
"Charges for the use of intellectual property, receipts (BoP, current US$)",WDI
Chemicals (% of value added in manufacturing),WDI
Child employment in agriculture (% of economically active children ages 7-14),WDI
"Child employment in agriculture, female (% of female economically active children ages 7-14)",WDI
"Child employment in agriculture, male (% of male economically active children ages 7-14)",WDI
Child employment in manufacturing (% of economically active children ages 7-14),WDI
"Child employment in manufacturing, female (% of female economically active children ages 7-14)",WDI
"Child employment in manufacturing, male (% of male economically active children ages 7-14)",WDI
Child employment in services (% of economically active children ages 7-14),WDI
"Child employment in services, female (% of female economically active children ages 7-14)",WDI
"Child employment in services, male (% of male economically active children ages 7-14)",WDI
Children (0-14) living with HIV,WDI
Children (ages 0-14) newly infected with HIV,WDI
"Children in employment, female (% of female children ages 7-14)",WDI
"Children in employment, male (% of male children ages 7-14)",WDI
"Children in employment, self-employed (% of children in employment, ages 7-14)",WDI
"Children in employment, self-employed, female (% of female children in employment, ages 7-14)",WDI
"Children in employment, self-employed, male (% of male children in employment, ages 7-14)",WDI
"Children in employment, study and work (% of children in employment, ages 7-14)",WDI
"Children in employment, study and work, female (% of female children in employment, ages 7-14)",WDI
"Children in employment, study and work, male (% of male children in employment, ages 7-14)",WDI
"Children in employment, total (% of children ages 7-14)",WDI
"Children in employment, unpaid family workers (% of children in employment, ages 7-14)",WDI
"Children in employment, unpaid family workers, female (% of female children in employment, ages 7-14)",WDI
"Children in employment, unpaid family workers, male (% of male children in employment, ages 7-14)",WDI
"Children in employment, wage workers (% of children in employment, ages 7-14)",WDI
"Children in employment, wage workers, female (% of female children in employment, ages 7-14)",WDI
"Children in employment, wage workers, male (% of male children in employment, ages 7-14)",WDI
"Children in employment, work only (% of children in employment, ages 7-14)",WDI
"Children in employment, work only, female (% of female children in employment, ages 7-14)",WDI
"Children in employment, work only, male (% of male children in employment, ages 7-14)",WDI
Children out of school (% of primary school age),WDI
"Children out of school, female (% of female primary school age)",WDI
"Children out of school, male (% of male primary school age)",WDI
"Children out of school, primary",WDI
"Children out of school, primary, female",WDI
"Children out of school, primary, male",WDI
Children with fever receiving antimalarial drugs (% of children under age 5 with fever),WDI
Claims on central government (annual growth as % of broad money),WDI
"Claims on central government, etc. (% GDP)",WDI
Claims on other sectors of the domestic economy (% of GDP),WDI
Claims on other sectors of the domestic economy (annual growth as % of broad money),WDI
Claims on private sector (annual growth as % of broad money),WDI
Classification of household consumption,SPI
Classification of national industry,SPI
Classification of status of employment,SPI
Coal rents (% of GDP),WDI
Combustible renewables and waste (% of total energy),WDI
"Commercial bank branches (per 100,000 adults)",WDI
"Commercial banks and other lending (PPG + PNG) (NFL, current US$)",WDI
Commercial service exports (current US$),WDI
Commercial service imports (current US$),WDI
"Communications, computer, etc. (% of service exports, BoP)",WDI
"Communications, computer, etc. (% of service imports, BoP)",WDI
"Community health workers (per 1,000 people)",WDI
Compensation of employees (% of expense),WDI
Compensation of employees (current LCU),WDI
Compilation of government finance statistics,SPI
Compilation of monetary and financial statistics,SPI
Completeness of birth registration (%),WDI
"Completeness of birth registration, female (%)",WDI
"Completeness of birth registration, male (%)",WDI
"Completeness of birth registration, rural (%)",WDI
"Completeness of birth registration, urban (%)",WDI
Completeness of death registration with cause-of-death information (%),WDI
"Compulsory education, duration (years)",WDI
"Computer, communications and other services (% of commercial service exports)",WDI
"Computer, communications and other services (% of commercial service imports)",WDI
"Condom use, population ages 15-24, female (% of females ages 15-24)",WDI
"Condom use, population ages 15-24, male (% of males ages 15-24)",WDI
Consumer price index (2010 = 100),WDI
Consumption of iodized salt (% of households),WDI
Container port traffic (TEU: 20 foot equivalent units),WDI
"Contraceptive prevalence, any method (% of married women ages 15-49)",WDI
"Contraceptive prevalence, any modern method (% of married women ages 15-49)",WDI
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",WDI
"Contributing family workers, male (% of male employment) (modeled ILO estimate)",WDI
"Contributing family workers, total (% of total employment) (modeled ILO estimate)",WDI
Control of Corruption: Estimate,WDI
Control of Corruption: Number of Sources,WDI
Control of Corruption: Percentile Rank,WDI
"Control of Corruption: Percentile Rank, Lower Bound of 90% Confidence Interval",WDI
"Control of Corruption: Percentile Rank, Upper Bound of 90% Confidence Interval",WDI
Control of Corruption: Standard Error,WDI
Coverage of social insurance programs (% of population),WDI
Coverage of social insurance programs in 2nd quintile (% of population),WDI
Coverage of social insurance programs in 3rd quintile (% of population),WDI
Coverage of social insurance programs in 4th quintile (% of population),WDI
Coverage of social insurance programs in poorest quintile (% of population),WDI
Coverage of social insurance programs in richest quintile (% of population),WDI
Coverage of social protection and labor programs (% of population),WDI
Coverage of social safety net programs (% of population),WDI
Coverage of social safety net programs in 2nd quintile (% of population),WDI
Coverage of social safety net programs in 3rd quintile (% of population),WDI
Coverage of social safety net programs in 4th quintile (% of population),WDI
Coverage of social safety net programs in poorest quintile (% of population),WDI
Coverage of social safety net programs in richest quintile (% of population),WDI
Coverage of unemployment benefits and ALMP (% of population),WDI
Coverage of unemployment benefits and ALMP in 2nd quintile (% of population),WDI
Coverage of unemployment benefits and ALMP in 3rd quintile (% of population),WDI
Coverage of unemployment benefits and ALMP in 4th quintile (% of population),WDI
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),WDI
Coverage of unemployment benefits and ALMP in richest quintile (% of population),WDI
Crop production index (2014-2016 = 100),WDI
Current account balance (% of GDP),WDI
"Current account balance (BoP, current US$)",WDI
"Current education expenditure, primary (% of total expenditure in primary public institutions)",WDI
"Current education expenditure, secondary (% of total expenditure in secondary public institutions)",WDI
"Current education expenditure, tertiary (% of total expenditure in tertiary public institutions)",WDI
"Current education expenditure, total (% of total expenditure in public institutions)",WDI
Current health expenditure (% of GDP),WDI
Current health expenditure per capita (current US$),WDI
"Current health expenditure per capita, PPP (current international $)",WDI
Customs and other import duties (% of tax revenue),WDI
Customs and other import duties (current LCU),WDI
DEC alternative conversion factor (LCU per US$),WDI
"Death rate, crude (per 1,000 people)",WDI
"Debt service (PPG and IMF only, % of exports of goods, services and primary income)",WDI
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",WDI
"Debt service on external debt, total (TDS, current US$)",WDI
Demand for family planning satisfied by modern methods (% of married women with demand for family planning),WDI
Deposit interest rate (%),WDI
"Depositors with commercial banks (per 1,000 adults)",WDI
Diabetes prevalence (% of population ages 20 to 79),WDI
Diarrhea treatment (% of children under 5 receiving oral rehydration and continued feeding),WDI
Diarrhea treatment (% of children under 5 who received ORS packet),WDI
Dimension 1.5: Data use by international organizations,SPI
Dimension 2.1: Data Releases,SPI
Dimension 2.2: Online access,SPI
Dimension 2.2: Online access - Download Options Score,SPI
Dimension 2.2: Online access - Machine Readability Score,SPI
Dimension 2.2: Online access - Metadata Available Score,SPI
Dimension 2.2: Online access - Non-Proprietary format Score,SPI
Dimension 2.2: Online access - Terms of Use Score,SPI
Dimension 2.4: Data services,SPI
Dimension 3.1: Social Statistics,SPI
Dimension 3.2: Economic Statistics,SPI
Dimension 3.3: Environmental Statistics,SPI
Dimension 3.4: Institutional Statistics,SPI
Dimension 4.1: Censuses and Surveys - Censuses only,SPI
Dimension 4.1: Censuses and Surveys - Surveys only,SPI
Dimension 4.2: Administrative Data,SPI
Dimension 4.3: Geospatial Data,SPI
Dimension 5.1: Legislation and governance,SPI
Dimension 5.2: Standards and Methods,SPI
Dimension 5.5: Finance,SPI
Disaster risk reduction progress score (1-5 scale; 5=best),WDI
Discrepancy in expenditure estimate of GDP (constant LCU),WDI
Discrepancy in expenditure estimate of GDP (current LCU),WDI
Domestic credit provided by financial sector (% of GDP),WDI
Domestic credit to private sector (% of GDP),WDI
Domestic credit to private sector by banks (% of GDP),WDI
Domestic general government health expenditure (% of GDP),WDI
Domestic general government health expenditure (% of current health expenditure),WDI
Domestic general government health expenditure (% of general government expenditure),WDI
Domestic general government health expenditure per capita (current US$),WDI
"Domestic general government health expenditure per capita, PPP (current international $)",WDI
Domestic private health expenditure (% of current health expenditure),WDI
Domestic private health expenditure per capita (current US$),WDI
"Domestic private health expenditure per capita, PPP (current international $)",WDI
"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",WDI
"Educational attainment, Doctoral or equivalent, population 25+, female (%) (cumulative)",WDI
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",WDI
"Educational attainment, Doctoral or equivalent, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least Bachelor's or equivalent, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least Bachelor's or equivalent, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least Bachelor's or equivalent, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least Master's or equivalent, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least Master's or equivalent, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least Master's or equivalent, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least completed lower secondary, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least completed lower secondary, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least completed post-secondary, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least completed post-secondary, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least completed post-secondary, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least completed primary, population 25+ years, female (%) (cumulative)",WDI
"Educational attainment, at least completed primary, population 25+ years, male (%) (cumulative)",WDI
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",WDI
"Educational attainment, at least completed short-cycle tertiary, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least completed short-cycle tertiary, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least completed short-cycle tertiary, population 25+, total (%) (cumulative)",WDI
"Educational attainment, at least completed upper secondary, population 25+, female (%) (cumulative)",WDI
"Educational attainment, at least completed upper secondary, population 25+, male (%) (cumulative)",WDI
"Educational attainment, at least completed upper secondary, population 25+, total (%) (cumulative)",WDI
Electric power consumption (kWh per capita),WDI
Electric power transmission and distribution losses (% of output),WDI
Electricity production from coal sources (% of total),WDI
Electricity production from hydroelectric sources (% of total),WDI
Electricity production from natural gas sources (% of total),WDI
Electricity production from nuclear sources (% of total),WDI
Electricity production from oil sources (% of total),WDI
"Electricity production from oil, gas and coal sources (% of total)",WDI
"Electricity production from renewable sources, excluding hydroelectric (% of total)",WDI
"Electricity production from renewable sources, excluding hydroelectric (kWh)",WDI
"Employers, female (% of female employment) (modeled ILO estimate)",WDI
"Employers, male (% of male employment) (modeled ILO estimate)",WDI
"Employers, total (% of total employment) (modeled ILO estimate)",WDI
Employment in agriculture (% of total employment) (modeled ILO estimate),WDI
"Employment in agriculture, female (% of female employment) (modeled ILO estimate)",WDI
"Employment in agriculture, male (% of male employment) (modeled ILO estimate)",WDI
Employment in industry (% of total employment) (modeled ILO estimate),WDI
"Employment in industry, female (% of female employment) (modeled ILO estimate)",WDI
"Employment in industry, male (% of male employment) (modeled ILO estimate)",WDI
Employment in services (% of total employment) (modeled ILO estimate),WDI
"Employment in services, female (% of female employment) (modeled ILO estimate)",WDI
"Employment in services, male (% of male employment) (modeled ILO estimate)",WDI
"Employment to population ratio, 15+, female (%) (modeled ILO estimate)",WDI
"Employment to population ratio, 15+, female (%) (national estimate)",WDI
"Employment to population ratio, 15+, male (%) (modeled ILO estimate)",WDI
"Employment to population ratio, 15+, male (%) (national estimate)",WDI
"Employment to population ratio, 15+, total (%) (modeled ILO estimate)",WDI
"Employment to population ratio, 15+, total (%) (national estimate)",WDI
"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",WDI
"Employment to population ratio, ages 15-24, female (%) (national estimate)",WDI
"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",WDI
"Employment to population ratio, ages 15-24, male (%) (national estimate)",WDI
"Employment to population ratio, ages 15-24, total (%) (modeled ILO estimate)",WDI
"Employment to population ratio, ages 15-24, total (%) (national estimate)",WDI
"Energy imports, net (% of energy use)",WDI
Energy intensity level of primary energy (MJ/$2017 PPP GDP),WDI
Energy use (kg of oil equivalent per capita),WDI
"Energy use (kg of oil equivalent) per $1,000 GDP (constant 2021 PPP)",WDI
Exclusive breastfeeding (% of children under 6 months),WDI
Expenditure on primary education (% of government expenditure on education),WDI
Expenditure on secondary education (% of government expenditure on education),WDI
Expenditure on tertiary education (% of government expenditure on education),WDI
Expense (% of GDP),WDI
Expense (current LCU),WDI
Export unit value index (2015 = 100),WDI
Export value index (2015 = 100),WDI
Export volume index (2015 = 100),WDI
Exports as a capacity to import (constant LCU),WDI
Exports of goods and services (% of GDP),WDI
"Exports of goods and services (BoP, current US$)",WDI
Exports of goods and services (annual % growth),WDI
Exports of goods and services (constant 2015 US$),WDI
Exports of goods and services (constant LCU),WDI
Exports of goods and services (current LCU),WDI
Exports of goods and services (current US$),WDI
"Exports of goods, services and primary income (BoP, current US$)",WDI
External balance on goods and services (% of GDP),WDI
External balance on goods and services (constant LCU),WDI
External balance on goods and services (current LCU),WDI
External balance on goods and services (current US$),WDI
External debt stocks (% of GNI),WDI
"External debt stocks, long-term (DOD, current US$)",WDI
"External debt stocks, private nonguaranteed (PNG) (DOD, current US$)",WDI
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",WDI
"External debt stocks, short-term (DOD, current US$)",WDI
"External debt stocks, total (DOD, current US$)",WDI
External health expenditure (% of current health expenditure),WDI
External health expenditure per capita (current US$),WDI
"External health expenditure per capita, PPP (current international $)",WDI
F-gases emissions from Industrial Processes (Mt CO2e),WDI
Female genital mutilation prevalence (%),WDI
Female headed households (% of households with a female head),WDI
Female primary school age children out-of-school (%),WDI
Female pupils below minimum reading proficiency at end of primary (%). Low GAML threshold,WDI
Female share of employment in senior and middle management (%),WDI
"Fertility rate, total (births per woman)",WDI
Fertilizer consumption (% of fertilizer production),WDI
Fertilizer consumption (kilograms per hectare of arable land),WDI
Final consumption expenditure (% of GDP),WDI
Final consumption expenditure (annual % growth),WDI
Final consumption expenditure (constant 2015 US$),WDI
Final consumption expenditure (constant LCU),WDI
Final consumption expenditure (current LCU),WDI
Final consumption expenditure (current US$),WDI
Finance Indicator based on PARIS21 indicators on SDG 17.18.3 & SDG 17.19.1,SPI
Financial intermediary services indirectly Measured (FISIM) (constant LCU),WDI
Financial intermediary services indirectly Measured (FISIM) (current LCU),WDI
Firms competing against unregistered firms (% of firms),WDI
